family,stage,level,variant,cue,resource,intervention,baseline,post,effect,max_plastic_change,wall_seconds,peak_rss_bytes
class_consistent,3,2,context_double,A,0.2,intact,0.018621454671385894,0.018616083769526226,,0.0011505297916188928,49.10997304099874,795607040
class_consistent,3,2,context_double,A,0.8,intact,0.018618239824022532,0.01860570732834038,,0.0026833624224292807,49.17462749999686,795607040
class_consistent,3,2,context_half,A,0.2,intact,0.01858094810663296,0.01857555085605783,,0.0011551288141986582,48.944749875001435,795607040
class_consistent,3,2,context_half,A,0.8,intact,0.018577719100997637,0.018565125122636406,,0.00269408107964042,48.95605908399739,795607040
class_consistent,3,2,glutamate_inhibitory,A,0.2,intact,0.01858251642293875,0.018577125142692275,,0.0011539888056097958,55.58245995800098,795607040
class_consistent,3,2,glutamate_inhibitory,A,0.8,intact,0.018579290745435965,0.018566710696123447,,0.0026914242090616547,56.12356591700518,795607040
class_consistent,3,2,primary,A,0.2,freeze_plasticity,0.01858342368446718,0.01858342368446718,,0.0,42.396277625004586,795607040
class_consistent,3,2,primary,A,0.2,intact,0.018583381746177692,0.01857798664452067,,0.0011547775163318619,48.264987624999776,795607040
class_consistent,3,2,primary,A,0.2,matched_control,0.018583333296095118,0.018577938278504624,,0.0011547596414287487,48.95691954100039,795607040
class_consistent,3,2,primary,A,0.2,silence_dan,0.018585802775816722,0.018585802775816722,,0.0,48.944413375000295,795607040
class_consistent,3,2,primary,A,0.8,freeze_plasticity,0.018580251677301828,0.018580251677301828,,0.0,42.40466116700554,795607040
class_consistent,3,2,primary,A,0.8,intact,0.018580153810636886,0.018567564848007853,,0.0026932623188352656,48.81571358300425,795607040
class_consistent,3,2,primary,A,0.8,matched_control,0.018580105411511942,0.018567516644971863,,0.002693220660251794,49.30494487499527,795607040
class_consistent,3,2,primary,A,0.8,silence_dan,0.018585802775816722,0.018585802775816722,,0.0,49.14651820799918,795607040
class_consistent,3,2,primary,B,0.2,intact,0.016280842858698224,0.016276523161046663,,0.00076198061420929,48.64178587500646,795607040
class_consistent,3,2,primary,B,0.8,intact,0.016278162104128267,0.016268082369465704,,0.0017775704906816125,48.58018354100204,795607040
class_consistent,3,2,role_normalization,A,0.2,intact,0.045461060523510746,0.04546106027183457,,1.3586064495640926e-08,49.35932566699921,795607040
class_consistent,3,2,role_normalization,A,0.8,intact,0.04546106048980581,0.04546105990256132,,3.1700815306123786e-08,49.194562000004225,795607040
class_consistent,3,3,primary,A,0.2,intact,0.01858338259840052,0.018577987442521957,,0.001154788820948438,277.7622067090051,953171968
class_consistent,3,3,primary,A,0.8,intact,0.018580154630402745,0.0185675655413078,,0.002693288664259774,174.3635787499952,953171968
class_consistent,3,3,primary,B,0.2,intact,0.016280845265942003,0.016276525505879273,,0.0007619917944021726,140.71400187499967,953171968
class_consistent,3,3,primary,B,0.8,intact,0.01627816447278732,0.01626808459254981,,0.0017775965587234488,169.57556425000075,953171968
