id,name,type,skid
13062936,Putative Mi1 13062936 MF,neuron,13062935
13072343,Putative Mi1 13072343 MF,neuron,13072342
13073676,Putative Mi1 13073676 MF,neuron,13073675
13104378,Putative Mi1 13104378 MF,neuron,13104377
13106121,Putative Mi1 13106121 MF,neuron,13106120
13107903,Putative Mi1 13107903 MF,neuron,13107902
13123483,Putative Mi1 13123483 MF,neuron,13123482
13125799,Putative Mi1 13125799 MF,neuron,13125798
13128491,Putative Mi1 13128491 MF,neuron,13128490
13139534,Putative Mi1 13139534 MF,neuron,13139533
13142116,Putative Mi1 13142116 MF,neuron,13142115
13142970,Putative Mi1 13142970 MF,neuron,13142969
13144348,Putative Mi1 13144348 HL,neuron,13144347
13230087,Putative Mi1 13230087 HL,neuron,13230086
13264429,Putative Mi1 13264429 HL,neuron,13264428
13294452,Putative Mi1 13294452 EK,neuron,13294451
13303706,Putative Mi1 13303706 HL,neuron,13303705
13313301,Putative Mi1 13313301 HL,neuron,13313300
13314547,Putative Mi1 13314547 HL,neuron,13314546
13315231,Putative Mi1 13315231 HL,neuron,13315230
13462934,Putative Mi1 13462934 HL,neuron,13462933
13482919,Putative Mi1 13482919 HL,neuron,13482918
13487584,Putative Mi1 13487584 HL,neuron,13487583
13500254,Putative Mi1 13500254 HL,neuron,13500253
13542394,Putative Mi1 13542394 HL,neuron,13542393
13550017,Putative Mi1 13550017 HL,neuron,13550016
13552876,Putative Mi1 13552876 HL,neuron,13552875
13557538,Putative Mi1 13557538 CL,neuron,13557537
13568855,Putative Mi1 13568855 HL,neuron,13568854
13577825,Putative Mi1 13577825 HL,neuron,13577824
13650885,Putative Mi1 13650885 HL,neuron,13650884
13653247,Putative Mi1 13653247 HL,neuron,13653246
13655781,Putative Mi1 13655781 HL,neuron,13655780
13656652,Putative Mi1 13656652 HL,neuron,13656651
13663700,Putative Mi1 13663700 HL,neuron,13663699
13666140,Putative Mi1 13666140 HL,neuron,13666139
13672480,Putative Mi1 13672480 HL,neuron,13672479
13678560,Putative Mi1 13678560 HL,neuron,13678559
13684082,Putative Mi1 13684082 HL,neuron,13684081
13687478,Putative Mi1 13687478 HL,neuron,13687477
13689086,Putative Mi1 13689086 HL,neuron,13689085
13692872,Putative Mi1 13692872 HL,neuron,13692871
13693886,Putative Mi1 13693886 HL,neuron,13693885
13695002,Putative Mi1 13695002 HL,neuron,13695001
13695927,Putative Mi1 13695927 HL,neuron,13695926
13704865,Putative Mi1 13704865 HL,neuron,13704864
13708510,Putative Mi1 13708510 HL,neuron,13708509
13709531,Putative Mi1 13709531 HL,neuron,13709530
13710669,Putative Mi1 13710669 HL,neuron,13710668
13719401,Putative Mi1 13719401 HL,neuron,13719400
13726216,Putative Mi1 13726216 HL,neuron,13726215
13731410,Putative Mi1 13731410 HL,neuron,13731409
13739636,Putative Mi1 13739636 HL,neuron,13739635
13747693,Putative Mi1 13747693 HL,neuron,13747692
13752230,Putative Mi1 13752230 MF,neuron,13752229
13753814,Putative Mi1 13753814 MF,neuron,13753813
13754193,Putative Mi1 13754193 MF,neuron,13754192
13762392,Putative Mi1 13762392 HL,neuron,13762391
13762840,Putative Mi1 13762840 MF,neuron,13762839
13765452,Putative Mi1 13765452 HL,neuron,13765451
13774457,Putative Mi1 13774457 HL CL,neuron,13774456
13774750,Putative Mi1 13774750 MF,neuron,13774749
