root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940617771803,right,T4c,293,4,-17,-13,-4,T4c,True,,,
720575940617777337,left,T5b,267,-6,2,7,-5,T5b,True,,,
720575940617780153,left,T5b,347,-5,-13,-2,-11,T5b,True,,,
720575940617780241,right,T4c,69,1,8,3,5,T4c,True,,,
720575940617781661,right,T4c,260,-3,19,12,7,T4c,True,,,
720575940617782813,left,T4a,364,4,4,-2,6,T4a,True,,,
720575940617782941,right,T5c,188,-5,17,13,4,T5c,True,,,
720575940617783581,left,T4c,513,-4,-13,-3,-10,T4c,True,,,
720575940617783809,right,T4d,243,-1,-21,-10,-11,T4d,True,,,
720575940617783931,left,T4b,139,1,-14,-8,-6,T4b,True,,,
720575940617786113,right,T4b,160,-2,20,12,8,T4b,True,,,
720575940617789524,right,T5a,736,-8,1,8,-7,T5a,True,,,
720575940617795668,right,T4a,378,-3,18,12,6,T4a,True,,,
720575940617796820,left,T5a,95,4,-21,-15,-6,T5a,True,,,
