level,family,arm,root_id,stimulus,seed,peak_model_rate,integral_model_rate_s,peak_time_after_onset_s,sensory_peak_sum,trace_path
L0,sensitivity,spacing7,720575940623047629,grating_0,17,0.00040016998041379016,0.00031464864338790117,1.1949999999999998,0.8328716944320376,traces/cf3c82667bfb619635cc46ef9d4d2209b0cfccd4ec6a8715aa6f4197c7edd62a.npz
L0,sensitivity,spacing7,720575940623047629,grating_90,17,0.0017350428499144726,0.0024082789639658896,1.21,1.3437597000689956,traces/5a35d88bc5144c31284b904e878b89a83c79dce052c91d5487c35de77e801823.npz
L0,sensitivity,spacing7,720575940623047629,grating_180,17,0.002145152348001571,0.0030766429592947353,1.2000000000000002,0.9418260790440065,traces/7c36213416e040806f5e36fbcc93f1a58febd485ea6b10fd2c5b7db30bee1c01.npz
L0,sensitivity,spacing7,720575940623047629,grating_270,17,0.000498901685074177,0.00036108167861094106,1.2349999999999999,1.5865504919609106,traces/9ec58a023b865bedcfb8fa89c057e48a58d4b1e9f91a32b24c427fd86f21f4e9.npz
L0,sensitivity,mirror,720575940623047629,expand,17,0.0007081238564389995,0.0008506188012001916,0.5299999999999998,1.161078108909137,traces/6b692f8507cd2ac0fd0f18aa15d269ba7c0f8e9998fd1f234da1e379f999d8cd.npz
L0,sensitivity,mirror,720575940623047629,recede,17,0.001217215691360336,0.0014072328050959205,2.2649999999999997,0.8390119929415987,traces/51076a5895d25358e9f7b66b6a5f4c3e7ccf6122d2bc477e1ed47c1c5f64c3a9.npz
L0,sensitivity,mirror,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/367983f9d49c3416e65dd0bf9ff0026c63fc40894f02e401f57e4571b08778a2.npz
L0,sensitivity,mirror,720575940623047629,grating_0,17,0.001013886271715743,0.000925779920062561,1.1149999999999998,1.0893058885095082,traces/2a5b3e3c2a5d07c3040d3e04fc1006b55664d30502b4056d08278fb4ea1036b0.npz
L0,sensitivity,mirror,720575940623047629,grating_90,17,0.0019894818674833243,0.0031390508030259496,2.005,2.174963157516685,traces/d490bed51778bc4d08ecdc1c44b04426b9fe58ddc334eb2b50b82fa16af7c2cd.npz
L0,sensitivity,mirror,720575940623047629,grating_180,17,0.0029797732301712104,0.00357118621912558,1.1549999999999998,1.6369455076018864,traces/f647efe6569924dfa55d85f2f4ebcf123047b35c56f7b9f4cafc77318bb01fa3.npz
L0,sensitivity,mirror,720575940623047629,grating_270,17,0.0009084132470928522,0.0009008040537493848,1.27,3.4461712592661806,traces/ac74815a7d13fed16fd9824cc22bdfd6d1b18633217c61590c9640131d56e5c1.npz
L0,sensitivity,axes_minus45,720575940623047629,expand,17,0.0005992118057877166,0.0003167478276552335,0.6200000000000001,0.7800147602408403,traces/a363e601c35e44807b37af525abf0e34fb7a2bc81d4f14beb25bc8464537d637.npz
L0,sensitivity,axes_minus45,720575940623047629,recede,17,0.0014383426073831644,0.0019176673361210306,1.0499999999999998,1.191504697832391,traces/559e7c1cd6674f611af7c7046117758ea9920c4d3487bb5019820d39703bd930.npz
L0,sensitivity,axes_minus45,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/7b8cd2362eab303e07fc35d24f07c6310cda68f4101ce19b7187215f92c3e258.npz
L0,sensitivity,axes_minus45,720575940623047629,grating_0,17,0.002845937677778543,0.003995848883309269,1.085,2.82123230696966,traces/7c2001d3752c84d26e2d9bb291763c7480fee18c13c3c2d79e64d6bd8658b84a.npz
L0,sensitivity,axes_minus45,720575940623047629,grating_90,17,0.003872630394145781,0.006616145953198597,2.0199999999999996,3.0272550036780803,traces/3fce07c45c4b2e80d202dffed4abafcab64290ce341ab5699328f7e3cde06acb.npz
L0,sensitivity,axes_minus45,720575940623047629,grating_180,17,0.003203474593388296,0.004384385617256795,1.29,4.390885441238554,traces/5665e1ca9668bb6794feb8b853bbc46bb2e88dc3e2d91cf282d9609834ab58b5.npz
L0,sensitivity,axes_minus45,720575940623047629,grating_270,17,0.001419156034436948,0.0017761381147635635,0.31999999999999984,3.4639307236293644,traces/5733f952c3f13974712083904f3603025cc6dfb625f682c5c687c607fa856b9d.npz
L0,sensitivity,axes_plus45,720575940623047629,expand,17,0.0007103707727604438,0.000260519102691331,0.5749999999999997,0.8954593193486173,traces/5ee59f12cc8da357d11c6f2a0f3a515c09d45035ca7fe871fd3ba04e33b08980.npz
L0,sensitivity,axes_plus45,720575940623047629,recede,17,0.0014654148143742273,0.0020099901199766533,1.0299999999999998,1.1727759570046405,traces/4852e5696b7e9bacbf0406a1662e522e1f92ac7ac17b8436564f70a46cc53001.npz
L0,sensitivity,axes_plus45,720575940623047629,dim,17,0.0,0.0,0.0,0.0,traces/10c9189b25bdc1c6fa5c10f9c7d44446dc845c7b293734191abe5caf1978db27.npz
L0,sensitivity,axes_plus45,720575940623047629,grating_0,17,0.0015934446168571967,0.0017739258158152478,1.0,3.850268965632784,traces/8685ff3a7242288dc7321e8950c6d0da598465cb86ba6d254330cbe0663e0324.npz
L0,sensitivity,axes_plus45,720575940623047629,grating_90,17,0.0024442867719426534,0.004002533986806456,0.9499999999999997,2.5516526485563555,traces/069edd93cd2b81a38db704ad0b7070bb8b3ddf0d4232dca072861338d8c1875c.npz
L0,sensitivity,axes_plus45,720575940623047629,grating_180,17,0.004568147233281011,0.0066070013614693696,1.0699999999999998,3.1626136415726487,traces/a56f3d0673e69d6b181d4424d72e9568c1f3910e4555b5a51e5861cd63fe1b9b.npz
L0,sensitivity,axes_plus45,720575940623047629,grating_270,17,0.002845322697797407,0.004389424706867951,1.4049999999999998,4.100452744299011,traces/8052b36936ad06ec97e36e232fc3802303214c9abbd9f56b488a1b3d545fb639.npz
L0,sensitivity,tau20ms,720575940623047629,expand,17,0.0004795619641825671,0.00011098145679537786,0.28500000000000014,0.4417463668293167,traces/22838ddb35295743a302913971e53d36e221fd816dbb966a4274b3541bf31cc5.npz
L0,sensitivity,tau20ms,720575940623047629,recede,17,0.0010982032565798217,0.0008391184268253678,1.355,0.6686062359022649,traces/c81dc688013baed362acc6b370e867d8e2d59800c2529de1acd354ec715af779.npz
