run,target,paired,intervention,paired_depression,control_depression,selective_depression,plastic_synapse_groups_changed,restoration_exact,replay_exact,plastic_only_depression,wall_seconds,baseline_A_PN,baseline_A_KC,baseline_A_MBON_app,baseline_A_MBON_av,baseline_A_DAN_app,baseline_A_DAN_av,baseline_A_APL,baseline_B_PN,baseline_B_KC,baseline_B_MBON_app,baseline_B_MBON_av,baseline_B_DAN_app,baseline_B_DAN_av,baseline_B_APL,post_A_PN,post_A_KC,post_A_MBON_app,post_A_MBON_av,post_A_DAN_app,post_A_DAN_av,post_A_APL,post_B_PN,post_B_KC,post_B_MBON_app,post_B_MBON_av,post_B_DAN_app,post_B_DAN_av,post_B_APL
app-1701-A-intact,app,A,intact,0.5585918027874875,0.059139655704818495,0.49945214708266905,618,True,True,0.5585918027874875,9.14926325000124,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.031242881346135586,0.05933891337790369,0.0010544966943435645,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.10623365142923634,0.11194038321728088,0.006148699698220461,1.1279932930093902e-13,0.1184218657502974
app-1701-B-intact,app,B,intact,0.475438434133431,0.09870833967012782,0.3767300944633032,1526,True,True,0.475438434133431,8.330572582985042,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.06379344239588472,0.05933891337790369,0.0038170281087764203,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.05922886523949428,0.11194038321728088,0.0018396403070197488,1.1279932930093902e-13,0.1184218657502974
app-1702-A-intact,app,A,intact,0.5542231671569788,0.08704090513531426,0.4671822620216646,648,True,,0.5542231671569788,4.364275958010694,0.05266177501683526,0.09563487017967987,0.08816910162194032,0.09739517299997592,0.005389821747440114,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.06804916976984553,0.07242168791278665,0.003893042952625891,5.366286086434035e-14,0.0733465446194094,0.05266177501683526,0.09563487017967987,0.03930374287564303,0.09739517299997592,0.0012648426242223563,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.06212610843937151,0.07242168791278665,0.0033415444482500518,5.366286086434035e-14,0.0733465446194094
app-1702-B-intact,app,B,intact,0.44389168234287923,0.07620691292741322,0.367684769415466,1209,True,,0.44389168234287923,4.790986959007569,0.05266177501683526,0.09563487017967987,0.08816910162194032,0.09739517299997592,0.005389821747440114,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.06804916976984553,0.07242168791278665,0.003893042952625891,5.366286086434035e-14,0.0733465446194094,0.05266177501683526,0.09563487017967987,0.08145000657174886,0.09739517299997592,0.0047640916925077706,4.3082752364216563e-14,0.09067535782243154,0.05107214500178628,0.0795352282250891,0.0378427093186726,0.07242168791278665,0.0012734027378191058,5.366286086434035e-14,0.0733465446194094
app-1703-A-intact,app,A,intact,0.477753645052735,0.1279163503925832,0.3498372946601518,1027,True,,0.477753645052735,4.813676749996375,0.05248070641400678,0.11887914614794157,0.10683513841031661,0.11171972407276463,0.006678765599493019,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.07244064892428279,0.07095111534751483,0.004917216567263891,3.645427193761444e-14,0.07242259060490747,0.05248070641400678,0.11887914614794157,0.05579426161507439,0.11171972407276463,0.0020924916731009536,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.06317430549381813,0.07095111534751483,0.0040720273510204885,3.645427193761444e-14,0.07242259060490747
app-1703-B-intact,app,B,intact,0.5575269715910822,0.08370830170758237,0.47381866988349985,1368,True,,0.5575269715910822,5.060708250006428,0.05248070641400678,0.11887914614794157,0.10683513841031661,0.11171972407276463,0.006678765599493019,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.07244064892428279,0.07095111534751483,0.004917216567263891,3.645427193761444e-14,0.07242259060490747,0.05248070641400678,0.11887914614794157,0.09789215041129451,0.11171972407276463,0.005863485741602072,5.73450951038067e-14,0.1101686999488164,0.05322654993034494,0.07871947768143145,0.03205303330943461,0.07095111534751483,0.0012650104213755855,3.645427193761444e-14,0.07242259060490747
app-1701-A-freeze,app,A,freeze,0.0,0.0,0.0,0,True,,0.0,3.9411827079893555,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
app-1701-B-freeze,app,B,freeze,0.0,0.0,0.0,0,True,,0.0,5.285349416983081,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.004472704185615972,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.00677360761561452,1.1279932930093902e-13,0.1184218657502974
app-1701-A-silence_dan,app,A,silence_dan,0.0,0.0,0.0,0,True,,0.0,5.192982083011884,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.0,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.0,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.0,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.0,1.1279932930093902e-13,0.1184218657502974
app-1701-B-silence_dan,app,B,silence_dan,0.0,0.0,0.0,0,True,,0.0,4.964670749992365,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.0,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.0,1.1279932930093902e-13,0.1184218657502974,0.05156339744948018,0.07781907096363656,0.07078002072329878,0.05933891337790369,0.0,2.2844463629834528e-14,0.08114813158318873,0.05137741073610898,0.13107017395763437,0.112911179723297,0.11194038321728088,0.0,1.1279932930093902e-13,0.1184218657502974
