condition,MB11_resource_contrast,LH_resource_contrast,MB11_experience_low,LH_experience_low,PN_resource_contrast,KC_resource_contrast,reset_max_delta
protocol-acquisition-ten-silence_oa-B,0.0004958411127060636,-9.471358741741653e-08,-0.00023822269954743014,4.567704126046124e-08,2.0131052380634173e-10,-4.409430398588654e-08,3.469446951953614e-18
protocol-interruption-ten-intact-A,0.0005343498865779672,-3.696333205072122e-07,-0.23071878017467484,-0.23164020024061005,3.7283509612962007e-10,-3.5817920851499707e-09,1.807344954446298e-166
protocol-interruption-ten-intact-B,0.0004927154420186763,-9.592975214189892e-08,-0.23072341514066896,-0.23237745202445004,2.0466739414359836e-10,-4.387977159403533e-08,1.1281377353791712e-166
protocol-none-single-intact-A,0.00018873743831293588,-1.2831490736608941e-07,,,1.2865264409356314e-10,-1.366446733541693e-09,1.734723475976807e-18
protocol-none-single-intact-B,0.0001778534972807222,-3.380654456375254e-08,,,7.333578189161472e-11,-1.5334987946147294e-08,1.734723475976807e-18
protocol-none-sham-intact-A,,,,,,,0.0
protocol-none-sham-intact-B,,,,,,,0.0
sensitivity-half_dt,0.0005373977077838266,-3.650127753385135e-07,-0.00026122701898034784,1.7754026271354917e-07,3.6777336731574906e-10,-3.6047658191762366e-09,1.3877787807814457e-17
sensitivity-tau_half,0.0005387276109043437,-3.6602828856757696e-07,-0.0002619577474678447,1.780374834225995e-07,3.687992133905027e-10,-3.604434639647991e-09,5.421010862427522e-20
sensitivity-tau_double,0.0005355525836678865,-3.63535644254398e-07,-0.0002602592353998512,1.7688167441853864e-07,3.662798953030233e-10,-3.610848064994343e-09,3.469446951953614e-18
sensitivity-eta_half,0.00035423787726784894,-2.408175248103106e-07,-0.0001307258307942094,8.884695379407503e-08,2.4231106010574877e-10,-2.4197573944562123e-09,1.0496542236694809e-127
sensitivity-eta_double,0.0009049833276388863,-6.140254362740905e-07,-0.0005228576602072099,3.5535105769035624e-07,6.193161539158609e-10,-5.982108808311182e-09,1.734723475976807e-18
sensitivity-floor01,0.0006049458576480315,-4.10901668357333e-07,-0.00020333783804338257,1.3820072597425792e-07,4.1401082562231295e-10,-4.0577365911786956e-09,1.734723475976807e-18
sensitivity-floor04,0.000403329138034092,-2.7393823776034054e-07,-0.00037766939613792516,2.566634025313874e-07,2.760094375275912e-10,-2.705443202799529e-09,1.3877787807814457e-17
sensitivity-da_half,0.0004521606074436857,-3.070286911377451e-07,-0.0002614146430963693,1.7767910454047353e-07,3.096825018644722e-10,-2.990093506127778e-09,3.469446951953614e-18
sensitivity-da_double,0.0007089736837786464,-4.816765361015385e-07,-0.0002615028734870295,1.7770513216497363e-07,4.846574253036806e-10,-4.840847056541975e-09,1.734723475976807e-18
sensitivity-gain075,0.00020716836538259287,-4.570374367851571e-08,-8.881534567883875e-05,1.958660411638391e-08,3.165623319034694e-11,-3.1100172437348306e-09,2.710505431213761e-20
sensitivity-gain125,0.0009456404865471058,-1.3227182437125506e-06,-0.0004949022102609391,6.934750502729514e-07,1.838177388080453e-09,3.631469502884954e-08,1.3877787807814457e-17
sensitivity-oa_half,0.0005422392359437644,-3.658217060387159e-07,-0.006897723604047723,3.972286242159839e-06,3.6858494034675005e-10,-3.616468124967298e-09,1.0842021724855044e-19
sensitivity-oa_double,0.0005561166640211113,-3.6755090082607467e-07,-0.026806869990837368,1.5356086081164122e-05,3.7031466781911604e-10,-3.6448983831149917e-09,2.7755575615628914e-17
sensitivity-retained,0.0009701462148230533,-8.929321676509616e-07,-0.0004897528825072994,4.5117892644164215e-07,2.866901471776373e-08,6.231797899935998e-08,1.0408340855860843e-17
sensitivity-roles,7.379562960707631e-09,-3.275909321587278e-09,-4.981203116649624e-09,2.211238081528677e-09,2.6526292273842955e-10,9.095861841501574e-10,1.694353722990352e-102
